k_index,kx,ky,k_distance,band1,band2,band3,band4,band5,band6,band7,band8
0,0,0,0,0.000651288377475119,0.33464043956412937,0.41499279758898244,0.5526766510440615,0.6221933219154401,0.7590083893847938,0.8432614949414244,0.9535589581728502
1,0.08333333333333333,0,0.08333333333333333,0.031481553455172874,0.32714156936238503,0.4165181932811901,0.5360156232726474,0.5890543832590326,0.7456012993587391,0.8091085363448356,0.9443391451187683
2,0.16666666666666666,0,0.16666666666666666,0.06257565184912563,0.30877309310977313,0.4122438763708884,0.49662204254878123,0.5877819518262761,0.7287849938392182,0.8020867306293875,0.9425908055451092
3,0.25,0,0.25,0.0927724735932746,0.2859190081075752,0.3973949626474584,0.4889673792972602,0.5998278157144291,0.722689423469879,0.8044124225229327,0.9390613956529185
4,0.3333333333333333,0,0.3333333333333333,0.12105448089886908,0.2623943280819748,0.3882812262975988,0.49662629678272513,0.6122879064241257,0.7324352792821166,0.8089742583293213,0.9340359036387936
5,0.4166666666666667,0,0.4166666666666667,0.14471161631891752,0.2418632580131303,0.3895028948956247,0.5052843381918436,0.6181731404728007,0.7452345433631152,0.8191467049142351,0.9314664807659019
6,0.5,0,0.5,0.15563683163321,0.23240469953547274,0.3973974059137406,0.5090051741742372,0.6142356215347531,0.7441343067741644,0.817431559169784,0.9241260680274946
7,0.4722222222222222,0.05555555555555555,0.5621129993749941,0.1550475761620994,0.23466435289875667,0.3956389219387974,0.5083054911841682,0.6184163318343143,0.7423336061025774,0.8140339039480401,0.9289216878214253
8,0.4444444444444445,0.1111111111111111,0.6242259987499883,0.1540613572274362,0.24142859417019916,0.3873727022849153,0.5088582388226942,0.6130307804241083,0.7282261719063985,0.8036712355351543,0.9284457890615598
9,0.41666666666666663,0.16666666666666666,0.6863389981249824,0.15367874946868615,0.2514310022181132,0.37481359083720645,0.5082860961323384,0.5997485067886806,0.7184010912263278,0.8031018835679359,0.9305674810432827
10,0.3888888888888889,0.2222222222222222,0.7484519974999766,0.15482608584520705,0.26340532911070264,0.36112821752830354,0.5065515825946957,0.5897455709578063,0.717674294868764,0.8070652576585279,0.9363383724453923
11,0.3611111111111111,0.2777777777777778,0.8105649968749707,0.15805045820353494,0.27755159060585904,0.35055560146845766,0.5062127740360234,0.5882098960857123,0.7161264972983992,0.8098970686145355,0.9406814136867346
12,0.3333333333333333,0.3333333333333333,0.8726779962499649,0.1633676284235235,0.2935789953992242,0.3487296851911161,0.5067607594179203,0.5910040224407136,0.70525047456082,0.8103107330570842,0.9362656113924767
13,0.2777777777777778,0.2777777777777778,0.9512454163818035,0.13758908400825837,0.2962862296897405,0.3580322964680426,0.49113018269549197,0.5749534842460067,0.7031816257181088,0.8085882343498556,0.9427930747259113
14,0.22222222222222224,0.22222222222222224,1.029812836513642,0.11080698901269918,0.30135112270980574,0.3679246555886794,0.4742228685427978,0.5673350632984169,0.7055561506008392,0.8074518756809514,0.9482581861312502
15,0.16666666666666666,0.16666666666666666,1.1083802566454808,0.08347164263694888,0.30925735668307425,0.3794917651807873,0.464495849083216,0.5643756527249153,0.7095791646772052,0.8031964942235189,0.9420517747994306
16,0.11111111111111112,0.11111111111111112,1.1869476767773195,0.055818960816497495,0.3210028496066591,0.3974986773303246,0.47813844405906347,0.565332791988277,0.7182450758578599,0.797795188717827,0.9380075578110713
17,0.05555555555555554,0.05555555555555554,1.2655150969091582,0.027968226193557856,0.33101913664900356,0.41112677156932853,0.5299913994826296,0.576004809658297,0.7334342545774761,0.7956656627000092,0.9359232580763012
18,0,0,1.344082517040997,0.000651288377475119,0.33464043956412937,0.41499279758898244,0.5526766510440615,0.6221933219154401,0.7590083893847938,0.8432614949414244,0.9535589581728502
