k_index,kx,ky,k_distance,band1,band2,band3,band4,band5,band6,band7,band8
0,0,0,0,13.861924040889816,38.841730953979926,136.3139337282832,436.47959907246786,3435.179870935669,16400.539406746262,130633.12595441859,623821.9086177112
1,0.08333333333333333,0,0.08333333333333333,13.86113812959764,38.90014006201985,136.4985570100625,437.5119428022035,3440.2882488153914,16415.8305216719,130664.90356809445,623647.2663118456
2,0.16666666666666666,0,0.16666666666666666,13.859516549674078,39.030427489371036,136.84252220977086,439.5695924694025,3443.0442960487994,16387.128742337944,129997.16998218358,618939.5191494604
3,0.25,0,0.25,13.85697126605296,39.2310734434073,137.34451101685494,442.6401326723133,3443.2201516816835,16314.195904713442,128642.1461094329,609849.5109428514
4,0.3333333333333333,0,0.3333333333333333,13.853340172429604,39.499723459634026,138.0017730513449,446.70030442045646,3440.454856366434,16196.965396781003,126625.44698841323,596661.5489781493
5,0.4166666666666667,0,0.4166666666666667,13.848397002436778,39.83326485768742,138.8097903478362,451.7160646448143,3434.278165662604,16035.76780820021,123987.85593604854,579795.4468139986
6,0.5,0,0.5,13.841864890065581,40.22792426347654,139.76198235998226,457.643326327055,3424.1486303043994,15831.610420137029,120786.82435581094,559801.0814533852
7,0.4722222222222222,0.05555555555555555,0.5621129993749941,13.859747387794387,39.87136758050986,139.06947019297894,452.71135156855644,3452.4503193379387,16153.76611272577,125261.77217291377,586916.0701119815
8,0.4444444444444445,0.1111111111111111,0.6242259987499883,13.873919117066166,39.58616361231933,138.5454035777935,448.8618001908433,3476.8102048948076,16431.4747601819,129160.6226354861,610913.6870876937
9,0.41666666666666663,0.16666666666666666,0.6863389981249824,13.884806542500854,39.37592549979099,138.19536453414563,446.1368442868221,3497.9228730296154,16663.654839722378,132411.91793044005,631097.7910328731
10,0.3888888888888889,0.2222222222222222,0.7484519974999766,13.892777986443164,39.24341341821359,138.0231667935776,444.5712231636555,3516.381648707679,16849.986907794828,134963.5703872023,646925.6000031682
11,0.3611111111111111,0.2777777777777778,0.8105649968749707,13.898129624739644,39.190454632823005,138.03139032529694,444.1917082521528,3532.6314317383262,16990.483796377408,136779.64802768623,658006.2615813119
12,0.3333333333333333,0.3333333333333333,0.8726779962499649,13.901070673414631,39.21788433112852,138.2216939327326,445.0164274094376,3546.935344801595,17085.133767473926,137837.0542022889,664091.0877168236
13,0.2777777777777778,0.2777777777777778,0.9512454163818035,13.88834310184744,39.1464704198518,137.87859233617039,443.57903047763716,3528.359416356591,16971.72711946395,136645.61511220556,657426.0834273341
14,0.22222222222222224,0.22222222222222224,1.029812836513642,13.87809226730056,39.07843225527522,137.54480807057553,442.143799107707,3509.707518324369,16857.68193664085,135446.437581374,650719.1140248753
15,0.16666666666666666,0.16666666666666666,1.1083802566454808,13.870322354651128,39.01385718862895,137.22090989643385,440.71352739998594,3491.0228231475808,16743.278514297308,134242.6805589781,643988.4506007624
16,0.11111111111111112,0.11111111111111112,1.1869476767773195,13.865036493758183,38.952829188768895,136.9074488776308,439.29096214683,3472.3470252679977,16628.785682514896,133037.35057412527,637251.3978408098
17,0.05555555555555554,0.05555555555555554,1.2655150969091582,13.862236738680394,38.89542844268722,136.6049550101866,437.87878582658163,3453.7200673823017,16514.45906710357,131833.283246959,630524.1923039808
18,0,0,1.344082517040997,13.861924040889816,38.841730953979926,136.3139337282832,436.47959907246786,3435.179870935669,16400.539406746262,130633.12595441859,623821.9086177112
