k_index,kx,ky,k_distance,band1,band2,band3,band4,band5,band6,band7,band8
0,0,0,0,0.3568552580266385,0.41490617032126065,0.5300296337387369,0.6287972890351221,0.6839031752885891,0.9027713605666727,0.9182326997957729,1.055315841722199
1,0.08333333333333333,0,0.08333333333333333,0.08633854232939486,0.35869502396256914,0.4156069568222864,0.531771335164633,0.6291978498928791,0.6843757858191905,0.9016828080425605,0.9054655545850113
2,0.16666666666666666,0,0.16666666666666666,0.10758426684663458,0.36408590928180645,0.4177004567892763,0.5371810205746654,0.6304821065595121,0.6858894109605486,0.9021144600870581,1.0533143466544608
3,0.25,0,0.25,0.15457564027922743,0.37256026972119666,0.42116257037005356,0.5462701986651463,0.6326172773743626,0.6884295858343285,0.9036379522585679,1.0569046881680506
4,0.3333333333333333,0,0.3333333333333333,0.20421331222113645,0.3834870725933731,0.4259506264905948,0.5590872239201423,0.6355938295580775,0.6920320148503423,0.9058689405922684,1.0390968288124462
5,0.4166666666666667,0,0.4166666666666667,0.2532210208859868,0.39618959600023396,0.43201765656900737,0.5755421204797555,0.6393995886134118,0.6967557964445164,0.9087188309226426,0.9921938906864238
6,0.5,0,0.5,0.30117412574798613,0.4101608204792118,0.43928097019983514,0.5953771784115137,0.6440188191623882,0.7027305776066977,0.9121938644650046,1.0587703567455653
7,0.4722222222222222,0.05555555555555555,0.5621129993749941,0.28709701164234414,0.40592938623980884,0.43701971105169596,0.5891864914596481,0.6425763478160041,0.7008230733318374,0.9693436175335315,1.075515383806769
8,0.4444444444444445,0.1111111111111111,0.6242259987499883,0.2763365366012847,0.40298786079205173,0.4354821138346744,0.5849854414860234,0.6415973254908942,0.975682652373468,1.051732400587157,1.1147084592286032
9,0.41666666666666663,0.16666666666666666,0.6863389981249824,0.2695380467663185,0.4014203469832996,0.4346741465979585,0.5827751413078995,0.6410839771446021,0.7074128871926241,0.9267435564324148,0.9869240818762083
10,0.3888888888888889,0.2222222222222222,0.7484519974999766,0.26890191968517013,0.40127441559038096,0.4345982088770957,0.5825690690025603,0.6410374328897166,0.7045576271527586,0.910750103212514,1.0771728636854327
11,0.3611111111111111,0.2777777777777778,0.8105649968749707,0.27264021998382243,0.40255028473705534,0.4352608108163067,0.5843715291201168,0.6414577637656576,0.7041629329649451,0.9102357270498121,1.0190139895646297
12,0.3333333333333333,0.3333333333333333,0.8726779962499649,0.2815722071808149,0.4052127662922054,0.43665562131509333,0.5881814875359583,0.6423441013293726,0.705349638104167,0.9106638250188324,1.0709021157950864
13,0.2777777777777778,0.2777777777777778,0.9512454163818035,0.23661351339447437,0.3924492809387387,0.43015086047585416,0.5705988163261952,0.6382282803521215,0.6997307445012687,0.9076280171598601,0.9329449268139447
14,0.22222222222222224,0.22222222222222224,1.029812836513642,0.19054934543800156,0.3809438785100186,0.4247403456303169,0.5562154008322132,0.6348400178831874,0.6952218549627556,0.9051376498885072,1.0538132829446418
15,0.16666666666666666,0.16666666666666666,1.1083802566454808,0.14376200372944653,0.3711975849208866,0.42047637261479553,0.5451431462538603,0.6321915117699171,0.6917094267154759,0.9030475347032229,0.912351816344904
16,0.11111111111111112,0.11111111111111112,1.1869476767773195,0.09646834301222877,0.3637223236005567,0.417394057558533,0.5373088017493236,0.6302922690548615,0.689197129082396,0.9015178315249399,1.052966353193795
17,0.05555555555555554,0.05555555555555554,1.2655150969091582,0.049084373348422694,0.3590139256596652,0.41553190089996933,0.5326560326097773,0.6291495905913932,0.6876230709599289,0.9006505444298345,0.9426500911081677
18,0,0,1.344082517040997,0.01028960089610948,0.35740069131065,0.4149074628762479,0.5311109459227387,0.6287676869328528,0.6871190155703085,0.9003603036450488,1.0499578696017187
